,budget,gross,profit,votes,IMDb score,clusters,cluster
85,20500000.0,804713.0,-19695287.0,269.0,6.5,0,salmon colored
86,20500000.0,6950125.0,-13549875.0,1900.0,5.8,0,salmon colored
87,20500000.0,6621520.0,-13878480.0,740.0,4.3,0,salmon colored
88,20500000.0,2261507.0,-18238493.0,599.0,6.8,0,salmon colored
89,20500000.0,1175855.0,-19324145.0,211.0,6.5,0,salmon colored
90,20500000.0,15198912.0,-5301088.0,593.0,4.3,0,salmon colored
91,20500000.0,20205757.0,-294243.0,230.0,6.7,0,salmon colored
92,18000000.0,389925971.0,371925971.0,905000.0,8.4,2,dark purple
93,20500000.0,24058838.0,3558838.0,32000.0,7.4,0,salmon colored
94,10000000.0,30669378.0,20669378.0,97000.0,7.5,0,salmon colored
95,6000000.0,25244626.0,19244626.0,131000.0,7.2,0,salmon colored
96,350000.0,2956630.0,2606630.0,192000.0,7.5,0,salmon colored
97,2500000.0,111289673.0,108789673.0,40000.0,6.2,0,salmon colored
98,18000000.0,12000000.0,-6000000.0,47000.0,7.4,0,salmon colored
99,15000000.0,41092328.0,26092328.0,42000.0,6.9,0,salmon colored
100,11000000.0,34971136.0,23971136.0,59000.0,7.4,0,salmon colored
101,3000000.0,23668369.0,20668369.0,170000.0,7.6,0,salmon colored
102,20500000.0,11487676.0,-9012324.0,237000.0,8.3,0,salmon colored
103,10000000.0,85297000.0,75297000.0,68000.0,6.9,0,salmon colored
104,20500000.0,1113538.0,-19386462.0,27000.0,7.4,0,salmon colored
105,18000000.0,72179579.0,54179579.0,34000.0,6.2,0,salmon colored
106,5500000.0,11492915.0,5992915.0,27000.0,7.4,0,salmon colored
107,20500000.0,32492674.0,11992674.0,7600.0,4.9,0,salmon colored
108,5000000.0,42368025.0,37368025.0,60000.0,7.0,0,salmon colored
109,20500000.0,50427646.0,29927646.0,4200.0,6.8,0,salmon colored
110,1250000.0,21722776.0,20472776.0,61000.0,6.1,0,salmon colored
111,20500000.0,14225876.0,-6274124.0,51000.0,6.8,0,salmon colored
112,28000000.0,54813222.0,26813222.0,94000.0,6.7,0,salmon colored
113,2500000.0,25533818.0,23033818.0,77000.0,6.5,0,salmon colored
114,14000000.0,35856053.0,21856053.0,17000.0,6.8,0,salmon colored
115,32000000.0,40382659.0,8382659.0,21000.0,7.3,0,salmon colored
116,20500000.0,119285432.0,98785432.0,29000.0,7.6,0,salmon colored
117,12000000.0,63456988.0,51456988.0,87000.0,7.3,0,salmon colored
118,5500000.0,59303359.0,53803359.0,56000.0,7.2,0,salmon colored
119,12000000.0,40716963.0,28716963.0,12000.0,6.9,0,salmon colored
120,6500000.0,36565280.0,30065280.0,5300.0,3.4,0,salmon colored
121,10000000.0,10853418.0,853418.0,29000.0,6.7,0,salmon colored
122,7000000.0,95461682.0,88461682.0,27000.0,6.9,0,salmon colored
123,20500000.0,5073.0,-20494927.0,19000.0,7.8,0,salmon colored
